model,model_id,condition,question_id,domain,confidence_tier,pass1,pass2,ground_truth,reversal,pass1_correct,pass2_correct,logodds1,logodds2,duplicate_removed
GPT-4o-mini,openai/gpt-4o-mini,A1,q0026,Medicine,Medium,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0027,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0028,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0027,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0026,Medicine,Medium,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0028,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0029,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0028,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0029,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0029,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0031,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0030,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0031,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0030,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0031,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0030,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0032,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0032,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0033,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0032,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0034,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0033,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0034,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0033,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0035,Medicine,High,Yes,Yes,No,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0034,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0035,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0036,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0035,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0037,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0036,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0038,Medicine,High,No,Yes,Yes,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0037,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0036,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0038,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0037,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0038,Medicine,High,No,Yes,Yes,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0039,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0039,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0040,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0039,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0042,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0040,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0041,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0042,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0040,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0041,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0043,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0042,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0041,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0043,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0044,Medicine,Boundary,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0044,Medicine,Boundary,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0045,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0043,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0045,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0044,Medicine,Boundary,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0046,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0045,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0046,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0046,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0048,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0048,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0047,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0048,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0047,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0049,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0047,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0050,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0049,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0050,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0049,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0051,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0050,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0051,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0052,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0051,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0052,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0053,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0053,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0052,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0053,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0054,Medicine,High,Yes,Yes,No,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0055,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0054,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0055,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0056,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0054,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0055,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0056,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0057,Medicine,High,Yes,Yes,No,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0056,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0058,Medicine,Boundary,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0059,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0057,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0058,Medicine,Boundary,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0059,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0057,Medicine,High,Yes,No,No,True,False,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0058,Medicine,Boundary,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0060,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0059,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0060,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0060,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0062,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0061,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0062,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0061,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0062,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0063,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0061,Medicine,Medium,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0063,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0063,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0064,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0065,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0064,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0065,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0064,Medicine,High,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0066,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0065,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0067,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0066,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0067,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0066,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0067,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0068,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0068,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0070,Medicine,Medium,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0069,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0068,Medicine,Boundary,No,No,Yes,False,False,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0070,Medicine,Medium,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0069,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0070,Medicine,Medium,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0069,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0071,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0071,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0072,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0071,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0073,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0072,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0073,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0074,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0072,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0073,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0074,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0074,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0075,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0076,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0075,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0076,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0075,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0077,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0076,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0078,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0077,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0078,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0079,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0077,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0078,Medicine,High,Yes,No,Yes,True,True,False,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0079,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0079,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0080,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A1,q0080,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A3,q0080,Medicine,High,No,No,No,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0081,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
GPT-4o-mini,openai/gpt-4o-mini,A0,q0082,Medicine,High,Yes,Yes,Yes,False,True,True,,,22
