model,contrast,meaning,n_paired,rate_hi,rate_lo,diff_pp,discordant_hi_only,discordant_lo_only,mcnemar_p
openai/gpt-5.6-terra,A3_agree - A3,expert AGREE vs expert disagree  [15bh #3],250,0.048,0.136,-8.8,3,25,2.744048833847046e-05
openai/gpt-5.6-terra,A3_agree - A0,expert AGREE vs drift  [15bh #3],250,0.048,0.056,-0.8,5,7,0.7744140625
openai/gpt-5.6-terra,A3_agree - A1_agree,prestige effect within agreement  [15bh #3],250,0.048,0.096,-4.8,3,15,0.007537841796875
openai/gpt-5.6-terra,A3g - A3,evidence gate on bare expert disagreement,250,0.108,0.136,-2.8,5,12,0.143463134765625
openai/gpt-5.6-terra,A3_rat - A3,legacy expert+rationale prompt package vs answer-only,249,0.1044,0.1365,-3.21,4,12,0.076812744140625
openai/gpt-5.6-terra,A3_rat_gated - A3_rat,legacy gated vs ungated rationale prompt package,249,0.1084,0.1044,0.4,4,3,1.0
x-ai/grok-4.5,A3 - A1,prestige increment P (expert vs anonymous),250,0.08,0.052,2.8,10,3,0.09228515625
x-ai/grok-4.5,A3 - A2,expert vs low-prestige,250,0.08,0.044,3.6,12,3,0.03515625
x-ai/grok-4.5,A3 - A4,expert vs neutral metadata  [egQr #5],250,0.08,0.056,2.4,8,2,0.109375
x-ai/grok-4.5,A4 - A1,neutral metadata vs bare anonymous,250,0.056,0.052,0.4,7,6,1.0
x-ai/grok-4.5,A2 - A4,low-prestige vs neutral metadata  [egQr: is A2 a reliability cue?],250,0.044,0.056,-1.2,3,6,0.5078125
x-ai/grok-4.5,A1 - A0,disagreement sensitivity G,250,0.052,0.016,3.6,11,2,0.0224609375
x-ai/grok-4.5,A3_agree - A3,expert AGREE vs expert disagree  [15bh #3],250,0.008,0.08,-7.2,0,18,7.62939453125e-06
x-ai/grok-4.5,A3_agree - A0,expert AGREE vs drift  [15bh #3],250,0.008,0.016,-0.8,1,3,0.625
x-ai/grok-4.5,A3_agree - A1_agree,prestige effect within agreement  [15bh #3],250,0.008,0.016,-0.8,1,3,0.625
x-ai/grok-4.5,A3g - A3,evidence gate on bare expert disagreement,250,0.04,0.08,-4.0,1,11,0.00634765625
x-ai/grok-4.5,A3_rat - A3,legacy expert+rationale prompt package vs answer-only,249,0.1205,0.0803,4.02,17,7,0.06391465663909912
x-ai/grok-4.5,A3_rat_gated - A3_rat,legacy gated vs ungated rationale prompt package,249,0.1044,0.1205,-1.61,4,8,0.3876953125
